UE,Video,Delay_ms
2,highway,410
3,highway,267
5,highway,261
3,football,280
8,highway,267
9,highway,277
5,football,332
12,highway,0
8,football,429
13,highway,375
9,football,514
15,highway,406
16,highway,419
12,football,394
17,highway,425
13,football,730
18,highway,458
15,football,723
16,football,758
17,football,705
22,highway,0
18,football,737
23,highway,465
24,highway,0
1,football,762
1,highway,641
21,highway,547
7,football,750
19,football,655
20,football,806
7,highway,544
19,highway,481
25,highway,572
21,football,833
27,highway,612
23,football,707
29,highway,585
25,football,892
31,highway,730
27,football,831
33,highway,613
29,football,624
34,highway,442
35,highway,596
31,football,981
36,highway,765
33,football,455
38,highway,1002
34,football,1158
39,highway,614
35,football,869
40,highway,851
36,football,796
41,highway,1182
42,highway,1079
38,football,1194
43,highway,630
39,football,633
44,highway,2884
40,football,700
45,highway,2810
41,football,1112
46,highway,830
42,football,936
47,highway,691
43,football,0
48,highway,0
44,football,3217
49,highway,664
45,football,2759
50,highway,677
46,football,719
51,highway,0
47,football,546
52,highway,687
48,football,0
49,football,505
54,highway,797
50,football,623
55,highway,528
51,football,0
56,highway,753
52,football,521
58,highway,1681
54,football,825
59,highway,652
55,football,341
11,football,585
60,highway,598
11,highway,536
56,football,739
62,highway,1038
58,football,1766
63,highway,1350
59,football,675
64,highway,755
60,football,605
66,highway,906
67,highway,753
63,football,1169
68,highway,1219
64,football,647
69,highway,1182
70,highway,660
66,football,1055
71,highway,954
67,football,582
72,highway,827
68,football,1938
69,football,1377
74,highway,1101
70,football,718
71,football,982
76,highway,622
72,football,839
78,highway,610
74,football,1055
80,highway,719
76,football,956
81,highway,516
82,highway,644
78,football,735
83,highway,702
84,highway,647
80,football,767
81,football,789
86,highway,572
82,football,428
83,football,792
88,highway,544
84,football,552
89,highway,558
90,highway,990
86,football,1043
91,highway,584
92,highway,464
88,football,825
89,football,854
94,highway,482
90,football,846
95,highway,522
91,football,825
96,highway,494
92,football,793
98,highway,562
94,football,743
99,highway,483
95,football,750
100,highway,341
96,football,715
98,football,682
99,football,664
85,football,661
85,highway,307
100,football,617
62,football,65
37,football,18
37,highway,19
