UE,Video,FramesLost
2,highway,119
3,highway,116
5,highway,116
3,football,374
8,highway,122
9,highway,123
5,football,377
12,highway,144
8,football,378
13,highway,126
9,football,384
15,highway,122
16,highway,122
12,football,408
17,highway,117
13,football,392
18,highway,118
15,football,395
16,football,395
17,football,396
22,highway,144
18,football,398
23,highway,128
24,highway,144
1,football,400
1,highway,127
21,highway,131
7,football,398
19,football,392
20,football,387
7,highway,128
19,highway,130
25,highway,126
21,football,397
27,highway,127
23,football,392
29,highway,122
25,football,402
31,highway,131
27,football,403
33,highway,121
29,football,404
34,highway,139
35,highway,136
31,football,406
36,highway,130
33,football,402
38,highway,133
34,football,401
39,highway,133
35,football,400
40,highway,130
36,football,403
41,highway,134
42,highway,139
38,football,406
43,highway,141
39,football,394
44,highway,141
40,football,406
45,highway,140
41,football,408
46,highway,127
42,football,401
47,highway,128
43,football,409
48,highway,144
44,football,408
49,highway,126
45,football,409
50,highway,132
46,football,405
51,highway,144
47,football,397
52,highway,127
48,football,409
49,football,395
54,highway,135
50,football,397
55,highway,123
51,football,409
56,highway,134
52,football,403
58,highway,140
54,football,401
59,highway,130
55,football,396
11,football,397
60,highway,132
11,highway,129
56,football,402
62,highway,131
58,football,404
63,highway,137
59,football,397
64,highway,138
60,football,396
66,highway,133
67,highway,128
63,football,406
68,highway,141
64,football,393
69,highway,140
70,highway,127
66,football,400
71,highway,136
67,football,402
72,highway,134
68,football,409
69,football,408
74,highway,136
70,football,398
71,football,399
76,highway,137
72,football,399
78,highway,129
74,football,404
80,highway,129
76,football,396
81,highway,132
82,highway,128
78,football,393
83,highway,130
84,highway,126
80,football,396
81,football,389
86,highway,130
82,football,398
83,football,393
88,highway,129
84,football,397
89,highway,133
90,highway,136
86,football,383
91,highway,124
92,highway,122
88,football,389
89,football,388
94,highway,127
90,football,384
95,highway,126
91,football,389
96,highway,123
92,football,389
98,highway,122
94,football,383
99,highway,121
95,football,385
100,highway,126
96,football,386
98,football,386
99,football,383
85,football,379
85,highway,124
100,football,377
62,football,138
37,football,128
37,highway,59
