UE,Video,Jitter_ms
2,highway,31
3,highway,20
5,highway,26
3,football,15
8,highway,29
9,highway,26
5,football,16
12,highway,0
8,football,20
13,highway,30
9,football,23
15,highway,30
16,highway,35
12,football,41
17,highway,32
13,football,31
18,highway,37
15,football,37
16,football,37
17,football,36
22,highway,0
18,football,38
23,highway,38
24,highway,0
1,football,40
1,highway,48
21,highway,38
7,football,40
19,football,39
20,football,33
7,highway,41
19,highway,38
25,highway,36
21,football,41
27,highway,38
23,football,37
29,highway,40
25,football,51
31,highway,40
27,football,48
33,highway,43
29,football,46
34,highway,60
35,highway,49
31,football,94
36,highway,48
33,football,35
38,highway,60
34,football,59
39,highway,54
35,football,54
40,highway,47
36,football,55
41,highway,66
42,highway,71
38,football,130
43,highway,120
39,football,38
44,highway,279
40,football,40
45,highway,337
41,football,129
46,highway,47
42,football,53
47,highway,53
43,football,0
48,highway,0
44,football,454
49,highway,49
45,football,793
50,highway,51
46,football,51
51,highway,0
47,football,37
52,highway,48
48,football,0
49,football,24
54,highway,52
50,football,39
55,highway,48
51,football,0
56,highway,58
52,football,51
58,highway,174
54,football,61
59,highway,58
55,football,22
11,football,41
60,highway,49
11,highway,46
56,football,62
62,highway,63
58,football,132
63,highway,143
59,football,29
64,highway,62
60,football,45
66,highway,56
67,highway,50
63,football,222
68,highway,205
64,football,41
69,highway,169
70,highway,52
66,football,28
71,highway,103
67,football,27
72,highway,68
68,football,455
69,football,221
74,highway,116
70,football,34
71,football,63
76,highway,81
72,football,47
78,highway,53
74,football,134
80,highway,53
76,football,42
81,highway,56
82,highway,52
78,football,31
83,highway,55
84,highway,52
80,football,35
81,football,35
86,highway,57
82,football,27
83,football,28
88,highway,50
84,football,29
89,highway,65
90,highway,37
86,football,22
91,highway,46
92,highway,40
88,football,27
89,football,23
94,highway,44
90,football,27
95,highway,48
91,football,21
96,highway,45
92,football,21
98,highway,43
94,football,24
99,highway,42
95,football,20
100,highway,40
96,football,21
98,football,16
99,football,16
85,football,24
85,highway,38
100,football,21
62,football,3
37,football,1
37,highway,1
