UE,Video,MOS
2,highway,3.71877
3,highway,4.04085
5,highway,3.6942
2,football,3.03363
7,highway,3.54861
8,highway,3.65506
9,highway,3.42807
5,football,2.87966
7,football,2.67984
8,football,2.70419
13,highway,3.42576
9,football,2.49954
15,highway,3.65227
1,football,2.18572
1,highway,3.01768
17,highway,2.99722
13,football,2.04447
14,football,3.65552
14,highway,4.20725
19,highway,3.54928
15,football,1.73645
20,highway,4.20725
21,highway,2.74853
17,football,1.67898
19,football,1.59404
24,highway,3.40936
11,football,1.80534
23,highway,2.53313
12,football,1.78299
11,highway,2.30327
3,football,1.53676
12,highway,2.87852
25,highway,2.66782
21,football,1.41012
27,highway,3.09485
23,football,1.45397
24,football,1.49619
29,highway,3.04531
25,football,1.38844
31,highway,2.11378
27,football,1.47164
33,highway,3.06399
29,football,1.44924
34,highway,2.52761
31,football,1.33333
37,highway,2.96023
33,football,1.59932
34,football,1.42231
39,highway,2.74285
40,highway,1.33333
41,highway,1.33333
37,football,1.50574
42,highway,1.33333
43,highway,1.33333
39,football,1.47378
44,highway,1.93802
40,football,1.33333
45,highway,1.70955
41,football,1.33333
46,highway,1.33333
42,football,1.33333
47,highway,1.964
43,football,3.65552
48,highway,2.12131
44,football,1.33333
49,highway,1.33333
45,football,1.39564
50,highway,2.5995
46,football,1.33333
51,highway,1.33333
47,football,1.44524
52,highway,1.33333
48,football,1.33333
53,highway,1.33333
49,football,1.33333
50,football,1.34164
55,highway,1.46489
51,football,1.33333
56,highway,1.33333
52,football,1.33333
57,highway,1.45763
58,highway,1.33333
59,highway,1.33333
55,football,1.71471
60,highway,1.33333
56,football,3.65552
57,football,1.40624
62,highway,1.33333
58,football,3.65552
59,football,1.69691
64,highway,1.44324
60,football,1.33333
65,highway,1.88001
66,highway,1.47984
62,football,1.33333
68,highway,1.33333
64,football,1.33333
65,football,1.35057
70,highway,1.95791
66,football,1.33333
72,highway,1.7796
68,football,1.33333
73,highway,1.33333
74,highway,1.33333
70,football,1.35377
75,highway,1.72644
76,highway,1.3876
72,football,1.33333
73,football,1.33333
78,highway,1.70316
74,football,1.33333
35,football,1.33333
35,highway,1.33333
75,football,1.33333
80,highway,1.33333
76,football,1.33333
82,highway,1.91689
78,football,1.33333
84,highway,1.33333
80,football,1.33333
85,highway,1.97844
86,highway,2.17516
82,football,1.4013
87,highway,2.29703
88,highway,1.72778
84,football,1.33333
89,highway,1.70556
85,football,1.37657
90,highway,1.75002
86,football,1.33333
91,highway,1.69423
87,football,1.4051
88,football,1.33364
93,highway,2.36441
89,football,1.33333
94,highway,1.51446
90,football,1.44573
95,highway,1.88
91,football,1.33333
96,highway,1.40674
97,highway,1.93322
93,football,1.49651
98,highway,2.24453
94,football,1.33333
99,highway,1.868
95,football,1.33333
100,highway,2.41534
96,football,1.33333
97,football,1.55071
98,football,1.47738
53,football,1.39403
99,football,1.35024
100,football,1.74357
92,football,2.8818
92,highway,2.63313
26,football,4.11048
26,highway,4.43928
