UE,Video,MOS
2,highway,3.05031
3,highway,3.69797
5,highway,3.63797
3,football,2.80244
8,highway,3.53323
9,highway,3.53312
5,football,2.55819
12,highway,4.20725
8,football,2.08456
13,highway,3.1306
9,football,1.82893
15,highway,3.0528
16,highway,2.93407
12,football,1.83271
17,highway,2.99986
13,football,1.4328
18,highway,2.78056
15,football,1.41465
16,football,1.39118
17,football,1.42891
22,highway,4.20725
18,football,1.39971
23,highway,2.64631
24,highway,4.20725
1,football,1.37457
1,highway,1.89653
21,highway,2.29422
7,football,1.38391
19,football,1.45453
20,football,1.37802
7,highway,2.28142
19,highway,2.56713
25,highway,2.26823
21,football,1.33333
27,highway,2.06458
23,football,1.42679
29,highway,2.19369
25,football,1.33333
31,highway,1.76511
27,football,1.33333
33,highway,2.03912
29,football,1.4433
34,highway,2.29321
35,highway,1.93894
31,football,1.33333
36,highway,1.63512
33,football,1.78531
38,highway,1.3503
34,football,1.33333
39,highway,1.87489
35,football,1.33333
40,highway,1.49082
36,football,1.33333
41,highway,1.33333
42,highway,1.33333
38,football,1.33333
43,highway,1.42611
39,football,1.47145
44,highway,1.33333
40,football,1.41203
45,highway,1.33333
41,football,1.33333
46,highway,1.52429
42,football,1.33333
47,highway,1.7516
43,football,3.65552
48,highway,4.20725
44,football,1.33333
49,highway,1.84522
45,football,1.33333
50,highway,1.77733
46,football,1.36183
51,highway,4.20725
47,football,1.59293
52,highway,1.80408
48,football,3.65552
49,football,1.81455
54,highway,1.51825
50,football,1.47311
55,highway,2.28284
51,football,3.65552
56,highway,1.56312
52,football,1.49544
58,highway,1.33333
54,football,1.33333
59,highway,1.78067
55,football,2.32269
11,football,1.49138
60,highway,1.95355
11,highway,2.22538
56,football,1.33333
62,highway,1.33333
58,football,1.33333
63,highway,1.33333
59,football,1.47251
64,highway,1.50681
60,football,1.46498
66,highway,1.42556
67,highway,1.65205
63,football,1.33333
68,highway,1.33333
64,football,1.45279
69,highway,1.33333
70,highway,1.82787
66,football,1.33333
71,highway,1.33333
67,football,1.61431
72,highway,1.4446
68,football,1.33333
69,football,1.33333
74,highway,1.33333
70,football,1.42591
71,football,1.33333
76,highway,1.62653
72,football,1.33333
78,highway,1.9078
74,football,1.33333
80,highway,1.69292
76,football,1.33333
81,highway,2.11866
82,highway,1.85584
78,football,1.42886
83,highway,1.70601
84,highway,1.85477
80,football,1.39152
81,football,1.38134
86,highway,1.94734
82,football,1.93113
83,football,1.40126
88,highway,2.12849
84,football,1.66453
89,highway,1.90155
90,highway,1.41594
86,football,1.33333
91,highway,2.07911
92,highway,2.67407
88,football,1.38521
89,football,1.38055
94,highway,2.49575
90,football,1.37471
95,highway,2.28072
91,football,1.40601
96,highway,2.46052
92,football,1.42755
98,highway,2.23226
94,football,1.45412
99,highway,2.5724
95,football,1.46177
100,highway,3.1091
96,football,1.48116
98,football,1.56148
99,football,1.60375
85,football,1.53465
85,highway,3.2656
100,football,1.6571
62,football,4.22449
37,football,4.25915
37,highway,4.50731
