UE,Video,PacketLoss_percent
2,highway,87.3699
3,highway,78.5566
5,highway,85.635
2,football,89.0678
7,highway,85.8432
8,highway,84.941
9,highway,84.6634
5,football,91.2152
7,football,92.0205
8,football,92.2401
13,highway,83.3449
9,football,93.387
15,highway,86.1207
1,football,94.6559
1,highway,87.1617
17,highway,87.1617
13,football,95.022
14,football,100
14,highway,100
19,highway,90.4233
15,football,94.8023
20,highway,100
21,highway,89.3824
17,football,95.9492
19,football,94.9
24,highway,85.7738
11,football,96.7301
23,highway,87.7863
12,football,95.754
11,highway,88.5496
3,football,96.2665
12,highway,87.3699
25,highway,87.5781
21,football,96.6081
27,highway,86.1901
23,football,97.4378
24,football,96.1933
29,highway,83.6919
25,football,97.511
31,highway,90.8397
27,football,96.9741
33,highway,84.7328
29,football,97.7062
34,highway,93.8237
31,football,98.8043
37,highway,87.8557
33,football,97.3646
34,football,96.7301
39,highway,88.272
40,highway,96.4608
41,highway,96.322
37,football,96.8277
42,highway,96.8772
43,highway,99.1672
39,football,96.5837
44,highway,93.4768
40,football,99.878
45,highway,92.297
41,football,99.6096
46,highway,98.1957
42,football,98.8043
47,highway,90.9785
43,football,100
48,highway,86.5371
44,football,97.8038
49,highway,93.338
45,football,97.7062
50,highway,84.5246
46,football,99.8048
51,highway,95.5586
47,football,97.4134
52,highway,91.3949
48,football,98.3651
53,highway,96.669
49,football,98.6091
50,football,98.4871
55,highway,91.1867
51,football,99.1703
56,highway,99.8612
52,football,99.0727
57,highway,91.4643
58,highway,99.7224
59,highway,91.8806
55,football,98.1698
60,highway,92.1582
56,football,100
57,football,98.4627
62,highway,96.2526
58,football,100
59,football,97.9502
64,highway,96.669
60,football,98.9263
65,highway,90.3539
66,highway,97.016
62,football,99.6584
68,highway,93.5461
64,football,99.8048
65,football,97.9014
70,highway,87.5781
66,football,99.7804
72,highway,89.1742
68,football,99.3655
73,highway,94.3789
74,highway,93.5461
70,football,97.9502
75,highway,91.5337
76,highway,96.1832
72,football,98.243
73,football,99.0483
78,highway,89.2436
74,football,99.3899
35,football,99.6584
35,highway,99.653
75,football,97.7794
80,highway,93.8931
76,football,98.8775
82,highway,90.8397
78,football,98.8043
84,highway,91.3255
80,football,99.3655
85,highway,91.5337
86,highway,89.7988
82,football,97.7794
87,highway,85.635
88,highway,91.3255
84,football,99.2435
89,highway,91.0479
85,football,97.511
90,highway,93.4768
86,football,97.389
91,highway,90.6315
87,football,98.3895
88,football,98.4383
93,highway,86.6065
89,football,98.0966
94,highway,93.4074
90,football,95.9248
95,highway,91.6031
91,football,98.3163
96,highway,91.8806
97,highway,87.9944
93,football,97.3402
98,highway,89.3824
94,football,98.1454
99,highway,91.6031
95,football,97.267
100,highway,87.9251
96,football,98.3651
97,football,97.7794
98,football,96.5837
53,football,94.3143
99,football,97.1938
100,football,96.0224
92,football,92.1913
92,highway,87.7863
26,football,59.3704
26,highway,58.2235
