UE,Video,PSNR_dB
2,highway,29.3126
3,highway,31.4901
5,highway,29.1652
2,football,25.2018
7,highway,28.2916
8,highway,28.9303
9,highway,27.5684
5,football,24.3983
7,football,23.3992
8,football,23.5209
13,highway,27.5546
9,football,22.4977
15,highway,28.9136
1,football,20.9286
1,highway,25.1061
17,highway,24.9861
13,football,20.2223
14,football,28.9331
14,highway,33.487
19,highway,28.2957
15,football,17.3645
20,highway,33.487
21,highway,23.7426
17,football,16.7898
19,football,15.9404
24,highway,27.4561
11,football,18.0534
23,highway,22.6656
12,football,17.8299
11,highway,21.5163
3,football,15.3676
12,highway,24.3926
25,highway,23.3391
21,football,12.3035
27,highway,25.5691
23,football,13.6192
24,football,14.8857
29,highway,25.2719
25,football,11.6532
31,highway,20.5689
27,football,14.1493
33,highway,25.3839
29,football,13.4772
34,highway,22.6381
31,football,10
37,highway,24.8012
33,football,15.9932
34,football,12.6694
39,highway,23.7143
40,highway,10
41,highway,10
37,football,15.0574
42,highway,10
43,highway,10
39,football,14.2135
44,highway,19.3802
40,football,10
45,highway,17.0955
41,football,10
46,highway,10
42,football,10
47,highway,19.64
43,football,28.9331
48,highway,20.6066
44,football,10
49,highway,10
45,football,11.8692
50,highway,22.9975
46,football,10
51,highway,10
47,football,13.3572
52,highway,10
48,football,10
53,highway,10
49,football,10
50,football,10.2491
55,highway,13.9467
51,football,10
56,highway,10
52,football,10
57,highway,13.7289
58,highway,10
59,highway,10
55,football,17.1471
60,highway,10
56,football,28.9331
57,football,12.1871
62,highway,10
58,football,28.9331
59,football,16.9691
64,highway,13.2973
60,football,10
65,highway,18.8001
66,highway,14.3953
62,football,10
68,highway,10
64,football,10
65,football,10.5171
70,highway,19.5791
66,football,10
72,highway,17.796
68,football,10
73,highway,10
74,highway,10
70,football,10.6131
75,highway,17.2644
76,highway,11.6281
72,football,10
73,football,10
78,highway,17.0316
74,football,10
35,football,10
35,highway,10
75,football,10
80,highway,10
76,football,10
82,highway,19.1689
78,football,10
84,highway,10
80,football,10
85,highway,19.7844
86,highway,20.8758
82,football,12.0391
87,highway,21.4852
88,highway,17.2778
84,football,10
89,highway,17.0556
85,football,11.2972
90,highway,17.5002
86,football,10
91,highway,16.9423
87,football,12.1531
88,football,10.0091
93,highway,21.8221
89,football,10
94,highway,15.1446
90,football,13.3718
95,highway,18.8
91,football,10
96,highway,12.2022
97,highway,19.3322
93,football,14.8952
98,highway,21.2226
94,football,10
99,highway,18.68
95,football,10
100,highway,22.0767
96,football,10
97,football,15.5071
98,football,14.3215
53,football,11.8209
99,football,10.5073
100,football,17.4357
92,football,24.409
92,highway,23.1656
26,football,32.3257
26,highway,36.2713
