UE,Video,PSNR_dB
2,highway,25.3018
3,highway,29.1878
5,highway,28.8278
3,football,24.0122
8,highway,28.1994
9,highway,28.1987
5,football,22.791
12,highway,33.487
8,football,20.4228
13,highway,25.7836
9,football,18.2893
15,highway,25.3168
16,highway,24.6703
12,football,18.3271
17,highway,24.9993
13,football,12.9839
18,highway,23.9028
15,football,12.4396
16,football,11.7355
17,football,12.8674
22,highway,33.487
18,football,11.9913
23,highway,23.2316
24,highway,33.487
1,football,11.2371
1,highway,18.9653
21,highway,21.4711
7,football,11.5173
19,football,13.6358
20,football,11.3406
7,highway,21.4071
19,highway,22.8357
25,highway,21.3412
21,football,10
27,highway,20.3229
23,football,12.8038
29,highway,20.9684
25,football,10
31,highway,17.6511
27,football,10
33,highway,20.1956
29,football,13.299
34,highway,21.4661
35,highway,19.3894
31,football,10
36,highway,16.3512
33,football,17.8531
38,highway,10.5089
34,football,10
39,highway,18.7489
35,football,10
40,highway,14.7246
36,football,10
41,highway,10
42,highway,10
38,football,10
43,highway,12.7832
39,football,14.1436
44,highway,10
40,football,12.361
45,highway,10
41,football,10
46,highway,15.2429
42,football,10
47,highway,17.516
43,football,28.9331
48,highway,33.487
44,football,10
49,highway,18.4522
45,football,10
50,highway,17.7733
46,football,10.855
51,highway,33.487
47,football,15.9293
52,highway,18.0408
48,football,28.9331
49,football,18.1455
54,highway,15.1825
50,football,14.1934
55,highway,21.4142
51,football,28.9331
56,highway,15.6312
52,football,14.8631
58,highway,10
54,football,10
59,highway,17.8067
55,football,21.6134
11,football,14.7414
60,highway,19.5355
11,highway,21.1269
56,football,10
62,highway,10
58,football,10
63,highway,10
59,football,14.1753
64,highway,15.0681
60,football,13.9495
66,highway,12.7667
67,highway,16.5205
63,football,10
68,highway,10
64,football,13.5838
69,highway,10
70,highway,18.2787
66,football,10
71,highway,10
67,football,16.1431
72,highway,13.3379
68,football,10
69,football,10
74,highway,10
70,football,12.7772
71,football,10
76,highway,16.2653
72,football,10
78,highway,19.078
74,football,10
80,highway,16.9292
76,football,10
81,highway,20.5933
82,highway,18.5584
78,football,12.8658
83,highway,17.0601
84,highway,18.5477
80,football,11.7455
81,football,11.4403
86,highway,19.4734
82,football,19.3113
83,football,12.0378
88,highway,20.6424
84,football,16.6453
89,highway,19.0155
90,highway,12.4783
86,football,10
91,highway,20.3956
92,highway,23.3703
88,football,11.5563
89,football,11.4166
94,highway,22.4787
90,football,11.2414
95,highway,21.4036
91,football,12.1803
96,highway,22.3026
92,football,12.8264
98,highway,21.1613
94,football,13.6235
99,highway,22.862
95,football,13.853
100,highway,25.6546
96,football,14.4348
98,football,15.6148
99,football,16.0375
85,football,15.3465
85,highway,26.5936
100,football,16.571
62,football,33.6939
37,football,34.1099
37,highway,37.117
