UE,Video,Throughput_Mbps
2,highway,0.259073
3,highway,0.282415
5,highway,0.288551
3,football,0.412661
8,highway,0.216978
9,highway,0.214343
5,football,0.378045
12,highway,0
8,football,0.38294
13,highway,0.170479
9,football,0.297359
15,highway,0.219342
16,highway,0.234343
12,football,0.0105446
17,highway,0.286845
13,football,0.19671
18,highway,0.286672
15,football,0.165595
16,football,0.167833
17,football,0.144101
22,highway,0
18,football,0.134919
23,highway,0.15407
24,highway,0
1,football,0.103465
1,highway,0.172308
21,highway,0.136472
7,football,0.131491
19,football,0.20688
20,football,0.264059
7,highway,0.164723
19,highway,0.159877
25,highway,0.183456
21,football,0.148502
27,highway,0.177188
23,football,0.205935
29,highway,0.247352
25,football,0.0696406
31,highway,0.174728
27,football,0.0716575
33,highway,0.266296
29,football,0.0636615
34,highway,0.0596642
35,highway,0.0792918
31,football,0.0434722
36,highway,0.135597
33,football,0.0838345
38,highway,0.103838
34,football,0.0939959
39,highway,0.113398
35,football,0.114669
40,highway,0.143233
36,football,0.0715759
41,highway,0.0871016
42,highway,0.0422261
38,football,0.0334156
43,highway,0.0912539
39,football,0.188266
44,highway,0.0177369
40,football,0.0378778
45,highway,0.0253857
41,football,0.0135479
46,highway,0.17453
42,football,0.0956027
47,highway,0.171682
43,football,0
48,highway,0
44,football,0.00552528
49,highway,0.189858
45,football,0.00432737
50,highway,0.114839
46,football,0.0449126
51,highway,0
47,football,0.15002
52,highway,0.175587
48,football,0
49,football,0.179074
54,highway,0.0840808
50,football,0.148606
55,highway,0.234439
51,football,0
56,highway,0.101122
52,football,0.0779491
58,highway,0.0305281
54,football,0.0868473
59,highway,0.147698
55,football,0.171905
11,football,0.151584
60,highway,0.121424
11,highway,0.167001
56,football,0.0918974
62,highway,0.126102
58,football,0.0431193
63,highway,0.0640285
59,football,0.138237
64,highway,0.0528975
60,football,0.168259
66,highway,0.117507
67,highway,0.167564
63,football,0.0393757
68,highway,0.0381957
64,football,0.198151
69,highway,0.039765
70,highway,0.182454
66,football,0.109216
71,highway,0.070236
67,football,0.0818774
72,highway,0.0943387
68,football,0.0143705
69,football,0.0139453
74,highway,0.0745191
70,football,0.121991
71,football,0.120624
76,highway,0.0719325
72,football,0.114762
78,highway,0.153696
74,football,0.0661233
80,highway,0.161411
76,football,0.150263
81,highway,0.119836
82,highway,0.178664
78,football,0.197921
83,highway,0.152303
84,highway,0.19493
80,football,0.165513
81,football,0.244563
86,highway,0.149552
82,football,0.138502
83,football,0.201132
88,highway,0.16267
84,football,0.15919
89,highway,0.115396
90,highway,0.085391
86,football,0.308429
91,highway,0.211399
92,highway,0.244651
88,football,0.249005
89,football,0.259426
94,highway,0.186325
90,football,0.317414
95,highway,0.19615
91,football,0.238286
96,highway,0.221318
92,football,0.246373
98,highway,0.238555
94,football,0.326195
99,highway,0.250413
95,football,0.298537
100,highway,0.197519
96,football,0.294545
98,football,0.291043
99,football,0.336398
85,football,0.389384
85,highway,0.218221
100,football,0.412654
62,football,3.56121
37,football,3.75549
37,highway,1.03947
